"","IFNg","IL.2","IL.6","IL.7","IL.8","IL.15","KC.like","IL.10","IL.18","bc_bin"
"1325",2.25160440084567,-0.369199089012816,-4.81078684895684,2.20809401288462,-1.54774004761224,-2.56432186860807,2.15885615791238,-2.40717256505961,5.0806658476069,"Robust"
"1327",1.9903876201659,3.12393620063273,-2.8486170775691,0.168289733617543,-5.87861174628223,2.4970551846352,0.568466582376521,-2.75897420853724,3.13806771096068,"Average"
"1337",3.26995225901941,2.54108067091091,-0.15854345973093,-0.158967194135422,-5.54397770505054,-3.82091458476737,2.06093470026516,-3.81397870579988,5.62441401928865,"Average"
"1348",1.14584879923039,0.711950719914674,-2.55396323381859,1.12233068885744,-2.80261108234694,-2.26245144069048,0.775249919340888,-1.96739850349016,5.83104413300277,"Average"
"1351",2.15331209122955,-0.351146835333979,-2.13517829349352,3.18329754200748,-1.57541528379794,-1.99972873674387,-2.54904776798366,-2.46861288875342,5.74252017286935,"Robust"
"1354",0.826979567725705,0.0651723088774182,-1.64584798607405,1.58000927098734,-3.03200357420681,-2.21206261897697,0.535238090627251,-1.9920555866909,5.87457052773101,"Poor"
"1357",3.83658424093794,-0.215639219322926,-2.62142068048779,3.7487346376166,-1.80068800979881,-2.72945511111831,-2.38315214298967,-3.58618672556103,5.75122301072399,"Robust"
"1358",0.515537870087915,1.60130743460011,3.3209886712443,-1.09633932227705,-3.1580126198688,-4.70788539072462,-0.0861602956072202,-1.47343258979695,5.0839962423423,"Robust"
"1379",-0.155844337092816,1.9141513432881,-3.91306348986664,-0.295229167670462,-2.88439402454828,2.23145226606941,1.14031481856782,-0.606915448729823,2.56952803998269,"Average"
"1380",1.35274315591122,-0.911864617484347,-1.37869571161523,2.32638168556767,0.720737155998876,-3.70421706904295,-2.12138334651201,-1.2631478423513,4.97944658952808,"Poor"
"1391",-0.0515685376008956,1.25140788079483,1.62746536644036,-0.0518296814541484,-4.71478194665618,-2.37737244251135,0.194982530246788,-1.74844063683667,5.87013746757726,"Poor"
"1394",1.23876997781706,0.311922832853355,-0.838512557206142,-0.167724513060149,1.6704637150231,-5.56022184250138,-0.0140398529172889,-0.501409417499389,3.86075165749084,"Average"
"1401",2.10669019851582,1.05632775012274,-0.677662059005931,1.65178022321566,-3.77251262403545,-2.92194809671333,-1.16668263993532,-2.92646708075508,6.65047432859089,"Average"
"1402",2.89425766260275,2.28385555025062,1.53616931926121,0.692141896458081,-5.70160249457932,-3.59729778916857,-0.95790792026139,-3.80961669894872,6.66000047438533,"Average"
"1403",0.239187034104235,-1.21099011227765,-4.1197393882001,3.40351839859554,-0.821146466307999,-1.74919367631494,-1.73840682510385,-1.29377984097385,7.29055087647862,"Average"
"1404",2.76776310908005,-1.12123686169827,-3.77238404869669,4.34456043777893,-0.677451190407533,-2.13589372534671,-2.7262082419492,-2.75400978940069,6.07486031064012,"Robust"
"1405",0.186266077471174,1.45527790656311,0.8028511466004,-1.46911457708296,-4.07326785658379,-4.40548185803747,3.73208517377024,-1.56192211126328,5.33330609856257,"Robust"
"1407",0.516940482561746,0.568972151589067,-2.29902889454248,1.08851089541746,-2.61583554721493,-1.98089457331415,0.332384306393909,-1.54990652525548,5.93885770436485,"Average"
"1414",4.39116172509933,0.55354354589386,-0.958533750193498,3.05124300061764,-3.56379371763322,-3.49630341086551,-1.60549158673337,-4.37745887824356,6.00563307205831,"Poor"
