Analyte,Type,Well,Description,%CV,Conc in Range,Obs Conc,Exp Conc,(Obs/Exp) * 100,Dilution
IFNg (25),X2,"C3,D3",QC2,7.42,660.35,660.35,,,1
IFNg (25),X3,"E3,F3",1325,3.45,OOR <,*0.62,,,3
IFNg (25),X4,"G3,H3",1327,3.82,9.36,9.36,,,3
IFNg (25),X5,"A4,B4",1337,2.18,7.15,7.15,,,3
IFNg (25),X6,"C4,D4",1348,5.66,OOR <,*3.26,,,3
IFNg (25),X7,"E4,F4",1351,6.15,OOR <,*2.14,,,3
IFNg (25),X8,"G4,H4",1354,0,OOR <,*1.55,,,3
IFNg (25),X9,"A5,B5",1357,0,6.9,6.9,,,3
IFNg (25),X10,"C5,D5",1358,6.15,OOR <,*2.14,,,3
IFNg (25),X11,"E5,F5",1380,7.07,10.8,10.8,,,3
IFNg (25),X12,"G5,H5",1401,0,OOR <,*0.28,,,3
IFNg (25),X13,"A6,B6",1402,6.15,OOR <,*2.14,,,3
IFNg (25),X14,"C6,D6",1403,7.44,OOR <,OOR <,,,3
IFNg (25),X15,"E6,F6",1404,3.14,OOR <,*1.85,,,3
IFNg (25),X16,"G6,H6",1405,6.73,OOR <,*0.94,,,3
IFNg (25),X17,"A7,B7",1407,6.73,OOR <,*0.94,,,3
IFNg (25),X18,"C7,D7",1414,4.04,8.39,8.39,,,3
IFNg (25),X19,"E7,F7",1430,0,OOR <,OOR <,,,3
IFNg (25),X20,"G7,H7",1461,10.88,OOR <,OOR <,,,3
IFNg (25),X21,"A8,B8",1463,0,OOR <,OOR <,,,3
IFNg (25),X22,"C8,D8",1465,0,14.55,14.55,,,3
IFNg (25),X23,"E8,F8",1476,0,OOR <,OOR <,,,3
IFNg (25),X24,"G8,H8",1505,5.24,OOR <,*4.33,,,3
IFNg (25),X25,"A9,B9",1513,22.33,OOR <,OOR <,,,3
IFNg (25),X26,"C9,D9",1516,0,7.9,7.9,,,3
IFNg (25),X27,"E9,F9",1527,4.88,OOR <,*5.37,,,3
IFNg (25),X28,"G9,H9",1528,0,OOR <,*3.80,,,3
IFNg (25),X29,"A10,B10",1554,10.1,OOR <,*4.86,,,3
IFNg (25),X30,"C10,D10",1555,11.31,15.47,15.47,,,3
IFNg (25),X31,"E10,F10",1556,6.15,OOR <,*2.14,,,3
IFNg (25),X32,"G10,H10",1562,0,OOR <,*0.28,,,3
IFNg (25),X33,"A11,B11",1563,6.15,OOR <,*2.14,,,3
IFNg (25),X34,"C11,D11",1581,8.32,OOR <,OOR <,,,3
IFNg (25),X35,"E11,F11",1586,3.29,OOR <,*1.25,,,3
IFNg (25),X36,"G11,H11",1663,0,OOR <,*0.28,,,3
IFNg (25),X37,"A12,B12",1394,7.44,9.85,9.85,,,3
IFNg (25),X38,"C12,D12",1391,3.82,OOR <,OOR <,,,3
IFNg (25),X39,"E12,F12",1379,4.88,OOR <,*5.37,,,3
IFNg (25),X40,"G12,H12",1501,0,OOR <,*2.70,,,3
IL-2 (29),B,"A1,B1",,4.29,,,,,1
IL-2 (29),S1,"C1,D1",,0,12.07,12.07,12.21,99,1
IL-2 (29),S2,"E1,F1",,3.2,49.54,49.54,48.83,101,1
IL-2 (29),S3,"G1,H1",,9.53,195.44,195.44,195.31,100,1
